id,country,city,citySlug,countrySlug,slug,status,displayName,hasCampus
65e1e299b51d51e009b79069,United States,St.Petersburg (Florida),st-petersburg,united-states,pal-university,TRUE,PAL University,FALSE
65e5831b9aa7b57ca472484b,Spain,Seville,seville,spain,loyola-leadership-school,TRUE,LOYOLA Leadership School,FALSE
65e5855a9aa7b57ca4728163,Spain,Madrid,madrid,spain,real-escuela-superior-de-arte-dramatico,TRUE,Real Escuela Superior de Arte DramÃ¡tico,FALSE
65e5bc589aa7b57ca4750e22,United States,Atlanta (Georgia),atlanta,united-states,spelman-college,TRUE,Spelman College,FALSE
65e5f5db671d5b2bc7e2d844,Canada,Toronto,toronto,canada,canadian-career-education-college,TRUE,Canadian Career Education College,FALSE
65e86b5efa429c386f1aa03a,United States,Troy (Alabama),troy,united-states,troy-university-2,TRUE,Troy University,FALSE
65e88f1afa429c386f1b25e8,France,Paris,paris,france,hec-paris-mba-french-connection-club,TRUE,HEC Paris MBA French Connection Club,FALSE
65e95f02fa429c386f20b822,United States,Troy (Alabama),troy,united-states,troy-university-international-admissions,TRUE,Troy University International Admissions,FALSE
65eab7c2fa7a53e819b7614e,United Kingdom,Cambridge,cambridge,united-kingdom,long-road-sixth-form-college,TRUE,Long Road Sixth Form College,FALSE
65eaba3efa7a53e819b772d2,United Kingdom,Canterbury,canterbury,united-kingdom,the-worthgate-school,TRUE,The Worthgate School,FALSE
65ec0827fa7a53e819c07fe0,United Kingdom,York,york,united-kingdom,york-st-john-university-2,TRUE,York St John University,FALSE
65eef379e2623463c4bc5153,Austria,Vienna,vienna,austria,universidad-de-agronomia-de-viena,TRUE,Universidad de agronomÃ­a de Viena,FALSE
65efe18fe2623463c4c11fde,Italy,bergamo,bergamo,italy,university-of-milan-bicocca-school-of-medicine-and-surgery-bergamo-campus-2,TRUE,University of Milan - Bicocca School of Medicine and Surgery (Bergamo Campus),FALSE
65efe446e2623463c4c14f41,United States,New York,newyork,united-states,manhattan-school-of-music,TRUE,Manhattan School of Music,FALSE
65effdf5e2623463c4c35717,Ireland,Waterford,waterford,ireland,south-east-technological-university-college-street-campus-setu,TRUE,"South East Technological University, College Street Campus (SETU)",FALSE
65f142f035e015bdfcb0231d,France,Lyon,lyon,france,emlyon-business-school-2,TRUE,Emlyon Business School,FALSE
65f2960206eed2488c6838c1,Portugal,Lisbon,lisbon,portugal,instituto-politecnico-de-lisboa,TRUE,Instituto PolitÃ©cnico de Lisboa,FALSE
65f29f04d47d0758d64f71dc,United States,Isla Vista (California),isla-vista-california,united-states,ucsb-university-center,TRUE,UCSB University Center,FALSE
65f3f67106d3061d6850fe9f,United Kingdom,Cambridge,cambridge,united-kingdom,st-andrews-college-cambridge,TRUE,St.Andrews college cambridge,FALSE
65f83471e2fb940a05fc6f88,Australia,Brisbane,brisbane,australia,tafe-queensland-south-bank-campus,TRUE,TAFE Queensland South Bank Campus,FALSE
65f9221c2ea84fb644b1ee15,United States,Dallas (Texas),dallas,united-states,the-university-of-texas-at-dallas,TRUE,The University of Texas at Dallas,FALSE
65fae75c9367dd2fedf0471e,United Kingdom,Exeter,exeter,united-kingdom,university-of-exeter-penryn-campus,TRUE,University of Exeter - Penryn Campus,FALSE
65fae8509367dd2fedf04767,United States,Washington DC,washington-dc,united-states,inter-american-defense-college,TRUE,Inter-American Defense College,FALSE
65fbe2def9a4bea7396d12cd,Austria,Graz,graz,austria,fh-joanneum-graz,TRUE,FH JOANNEUM Graz,FALSE
66023a83ba0802cb872183f2,Australia,Melbourne,melbourne,australia,melbourne-college-of-business-and-technology-mcbt,TRUE,Melbourne College of Business and Technology(MCBT),FALSE
66029372ba0802cb87282dfc,Poland,Krakow,krakow,poland,szkola-artystycznego-projektowania-ubioru,TRUE,SzkoÅ‚a Artystycznego Projektowania Ubioru,FALSE
6603d6b4580887bb48b2b132,United Kingdom,Birmingham,birmingham,united-kingdom,university-of-birmingham-law-school,TRUE,University of Birmingham Law School,FALSE
66068e5ee5820b5d2cd3763e,Canada,Halifax,halifax-2,canada,oxford-international-college-halifax,TRUE,Oxford International College Halifax,FALSE
66079328e5820b5d2cd6148d,United States,Tallahassee (Florida),tallahassee,united-states,tallahassee-community-college,TRUE,Tallahassee Community College,FALSE
660c6e4b7d6b49317d9614c9,Canada,Calgary,calgary,canada,bow-valley-college-south-campus,TRUE,"Bow Valley College, South Campus",FALSE
660d1a577d6b49317d9c1100,Latvia,Riga,riga,latvia,transporta-un-sakaru-instituts-tsi,TRUE,Transporta un sakaru institÅ«ts (TSI),FALSE
660d271f7d6b49317d9c5b7e,France,Courbevoie,courbevoie,france,esce-paris-la-defense,TRUE,Esce Paris - La DÃ©fense,FALSE
660eac243c20b16dc8c48fb2,United States,Pittsburgh (Pennsylvania),pittsburgh,united-states,robotics-institute-summer-scholars,TRUE,Robotics Institute Summer Scholars,FALSE
660f7ed9dfd92c1ea4fb469a,United States,Atlanta (Georgia),atlanta,united-states,morehouse-college,TRUE,Morehouse College,FALSE
6610f246c9fd2f27be877e9c,United Kingdom,London,london,united-kingdom,notting-hill-academy-of-music,TRUE,Notting Hill Academy of Music,FALSE
6613c7e6c9fd2f27be8fd9c7,Ireland,Galway,galway,ireland,university-of-galway,TRUE,University of Galway,FALSE
6613c841c9fd2f27be8fdbda,Ireland,Limerick,limerick,ireland,mary-immaculate-college,TRUE,Mary Immaculate College,FALSE
6613cce9c9fd2f27be904b38,Ireland,Limerick,limerick,ireland,technological-university-of-the-shannon-midwest,TRUE,Technological University of the Shannon: Midwest,FALSE
6614e001311b9b8d59d92c36,Portugal,Lisbon,lisbon,portugal,school-of-agriculture-university-of-lisbon-isa,TRUE,School of Agriculture University of Lisbon (ISA),FALSE
6616d831311b9b8d59ec113c,United States,Los Angeles (California),los-angeles,united-states,pasadena-city-college,TRUE,Pasadena City College,FALSE
661a20b1952fdd2ecd59ad54,United States,Chicago (Illinois),chicago,united-states,harold-washington-college-city-college-of-chicago,TRUE,"Harold Washington College, City College of Chicago",FALSE
661a3d4292fccced994c247c,Canada,Montreal,montreal,canada,superior-college-of-montreal-inc,TRUE,"Superior College Of Montreal, Inc.",FALSE
661d1fd1cf974a841d947a07,United States,Fullerton (California),fullerton,united-states,california-state-university-fullerton,TRUE,"California State University, Fullerton",FALSE
661d897e3c17c5a66ce81c8f,United Kingdom,Guildford,guildford,united-kingdom,italia-conti-associates-guildford,TRUE,Italia Conti Associates Guildford,FALSE
6620d8a16fb32d0d3fe9d36d,United Kingdom,Guildford,guildford,united-kingdom,guildford-county-school,TRUE,Guildford County School,FALSE
662150fa17bf91d7ea4eac6f,United States,Minneapolis (Minnesota),minneapolis,united-states,bethlehem-college-and-seminary,TRUE,Bethlehem College and Seminary,FALSE
6628e7f98d3be9b623fe1a8d,New Zealand,Hamilton,hamilton,new-zealand,wintec-te-pukenga-city-campus,TRUE,Wintec Te PÅ«kenga City Campus,FALSE
6628e8c58d3be9b623fe215b,Canada,New Westminster,new-westminster,canada,codecore-college,TRUE,CodeCore College,FALSE
6628f1c08d3be9b623fe68f9,United States,Stanford (California),stanford-california,united-states,stanford-university,TRUE,Stanford University,FALSE
6628f2f28d3be9b623fe6fd5,United States,Pasadena (California),pasadena-calfornia,united-states,california-institute-of-technology,TRUE,California Institute of Technology,FALSE
662f3207c480b857840f77b8,Belgium,Leuven,leuven,belgium,ku-leuven,TRUE,KU Leuven,FALSE
662f33a1c480b857840f9b93,Spain,Barcelona,barcelona,spain,epitech-barcelona,TRUE,EPITECH Barcelona,FALSE
662f36aec480b857840ff223,Singapore,Singapore,singapore,singapore,stanfort-academy,TRUE,Stanfort Academy,FALSE
662f36fdc480b857840ffac9,Germany,Bremen,bremen,germany,constructor-university,TRUE,Constructor University,FALSE
662f3f07c480b857841157da,United States,Houston (Texas),houston,united-states,rice-university,TRUE,Rice University,FALSE
662f4322c480b8578411d5be,United Kingdom,London,london,united-kingdom,english-national-ballet-school,TRUE,English National Ballet School,FALSE
662f43e5c480b8578411ed45,United States,Washington DC,washington-dc,united-states,university-of-the-potomac,TRUE,University of the Potomac,FALSE
662f47bcc480b85784127dbf,United Kingdom,London,london,united-kingdom,stafford-house-london,TRUE,Stafford House London,FALSE
662f48dec480b85784129c4e,Spain,Barcelona,barcelona,spain,eserp-digital-business-law-school-barcelona-edificio-girona,TRUE,Eserp Digital Business & Law School - Barcelona - Edificio Girona,FALSE
66308d3cc480b857841bc17f,Austria,Leoben,leoben,austria,university-of-leoben,TRUE,University of Leoben,FALSE
6630a04dc480b857841d7249,United Kingdom,London,london,united-kingdom,savile-row-bespoke-academy-srba,TRUE,Savile Row Bespoke Academy (SRBA),FALSE
6630a1c1c480b857841da39e,Australia,Ballarat,ballarat,australia,ballarat-campus,TRUE,Australian Catholic University - Ballarat Campus,FALSE
