id,displayName,slug,country,city,countrySlug,citySlug,Parent University Id,Parent University Slug
613aee4dfc9db990e6c5ef2c,Birmingham City University (BCU) - Royal Birmingham Conservatoire,birmingham-city-university-bcu-royal-birmingham-conservatoire,United Kingdom,Birmingham,united-kingdom,birmingham,5a68710032328a1060e065db,birmingham-city-university-(bcu)
613aee4dfc9db990e6c5ef27,Robert Gordon University - Business School Campus,robert-gordon-university-business-school-campus,United Kingdom,Aberdeen,united-kingdom,aberdeen,5a68710032328a1060e06605,robert-gordon-university
613aee4dfc9db990e6c5eef0,University of the West of Scotland (UWS) - Ayr Campus,university-of-the-west-of-scotland-uws-ayr-campus,United Kingdom,Glasgow,united-kingdom,glasgow,5a68710032328a1060e06639,university-of-the-west-of-scotland-(uws)
613aee4dfc9db990e6c5ef18,Kingston University - St George's Campus,kingston-university-st-georges-campus,United Kingdom,London,united-kingdom,london,5a68710032328a1060e06709,kingston-university
613aee4dfc9db990e6c5ef3b,Edinburgh Napier University - Merchiston Campus,edinburgh-napier-university-merchiston-campus,United Kingdom,Edinburgh,united-kingdom,edinburgh,5a68710032328a1060e06633,edinburgh-napier-university
613aee4dfc9db990e6c5eeeb,University of West London Reading - Brentford Campus,university-of-west-london-reading-brentford-campus,United Kingdom,Reading,united-kingdom,reading,5a68710032328a1060e0660c,university-of-west-london-reading
613aee4dfc9db990e6c5ef4e,University of Bedfordshire - Aylesbury Campus,university-of-bedfordshire-aylesbury-campus,United Kingdom,Luton,united-kingdom,luton,5a68710032328a1060e0662b,university-of-bedfordshire
613aee4dfc9db990e6c5ef31,University of Salford - MediaCityUK,university-of-salford-mediacityuk,United Kingdom,Salford,united-kingdom,salford,60bf7b34b43a1e9b60fc61d8,university-of-salford
613aee4dfc9db990e6c5ef54,Charles Sturt University (CSU) Sydney - Study Centre Campus,charles-sturt-university-csu-sydney-study-centre-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065ab,charles-sturt-university-(csu)-sydney
613aee4dfc9db990e6c5ef04,University of Greenwich - Greenwich Campus,university-of-greenwich-greenwich-campus,United Kingdom,London,united-kingdom,london,5a68710032328a1060e066e0,university-of-greenwich
613aee4dfc9db990e6c5ef22,Swansea University - Singleton Abbey,swansea-university-singleton-abbey,United Kingdom,Swansea,united-kingdom,swansea,5a68710032328a1060e0660d,swansea-university
613aee4dfc9db990e6c5ef4f,University of Bedfordshire - Putteridge Bury Campus,university-of-bedfordshire-putteridge-bury-campus,United Kingdom,Luton,united-kingdom,luton,5a68710032328a1060e0662b,university-of-bedfordshire
613aee4dfc9db990e6c5ef40,University of Wolverhampton - Telford Campus,university-of-wolverhampton-telford-campus,United Kingdom,Wolverhampton,united-kingdom,wolverhampton,5a68710032328a1060e0661c,university-of-wolverhampton
613aee4dfc9db990e6c5ef3e,ISTEC - School of Management and Marketing - Institut Superieur Du Commerce De Paris,institut-suprieur-du-commerce-de-paris-institut-superieur-du-commerce-de-paris,France,Paris,france,paris,64cf51a2754107fd46d2377c,istec-school-of-management-and-marketing
613aee4dfc9db990e6c5ef1d,University of Chester - Kingsway Campus,university-of-chester-kingsway-campus,United Kingdom,Chester,united-kingdom,chester,5a68710032328a1060e06603,university-of-chester
613aee4dfc9db990e6c5ef49,Victoria University - Melton Campus,victoria-university-melton-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef68,Western Sydney University - Parramatta Campus,western-sydney-university-parramatta-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a6,western-sydney-university
613aee4dfc9db990e6c5ef59,The University of Sydney - Sydney Conservatorium of Music,the-university-of-sydney-sydney-conservatorium-of-music,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
613aee4dfc9db990e6c5ef36,University College Birmingham - Summer Row Campus,university-college-birmingham-summer-row-campus,United Kingdom,Birmingham,united-kingdom,birmingham,5a68710032328a1060e065da,university-college-birmingham
613aee4dfc9db990e6c5ef57,The University of Sydney - Cumberland Campus,the-university-of-sydney-cumberland-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a7,the-university-of-sydney
613aee4dfc9db990e6c5ef52,University of Bedfordshire - Milton Keynes Campus,university-of-bedfordshire-milton-keynes-campus,United Kingdom,Luton,united-kingdom,luton,5a68710032328a1060e0662b,university-of-bedfordshire
613aee4dfc9db990e6c5ef4a,Victoria University - St Albans Campus,victoria-university-st-albans-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef45,Victoria University - City King Campus,victoria-university-city-king-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef70,La Trobe University - Albury-Wodonga Campus,la-trobe-university-alburywodonga-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e0658f,la-trobe-university
613aee4dfc9db990e6c5ef43,Victoria University - City Flinders Campus,victoria-university-city-flinders-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef63,Torrens University Australia Sydney - Surry Hills campus,torrens-university-australia-sydney-town-hall-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a9,torrens-university-australia-sydney
613aee4dfc9db990e6c5ef6b,Griffith University - Logan Campus,griffith-university-logan-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c2,griffith-university
613aee4dfc9db990e6c5ef89,TAFE Queensland Brisbane - Bracken Ridge Campus,tafe-queensland-brisbane-bracken-ridge-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c3,tafe-queensland-brisbane
613aee4dfc9db990e6c5ef5e,Torrens University Australia Melbourne - Fitzroy Campus,torrens-university-australia-melbourne-fitzroy-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06598,torrens-university-australia-melbourne
613aee4dfc9db990e6c5ef4d,Victoria University - Werribee Campus,victoria-university-werribee-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef84,Swinburne University of Technology - Croydon Campus,swinburne-university-of-technology-croydon-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06593,swinburne-university-of-technology
613aee4dfc9db990e6c5ef75,La Trobe University - Shepparton Campus,la-trobe-university-shepparton-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e0658f,la-trobe-university
